Taxon	AC1	AC2	AC3	AC4	AM1	AM2	AM3	AM4
Archaea;Crenarchaeota;Group_C3	0	0	0	1	0	0	0	0
Archaea;Crenarchaeota;Miscellaneous_Crenarchaeotic_Group	0	0	0	1	0	0	0	0
Bacteria	2	3	3	6	3	7	8	2
Bacteria;Acidobacteria	3	4	2	4	1	4	3	22
Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae	28	51	32	24	54	44	43	58
Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Acidobacterium	0	0	0	0	0	0	1	0
Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Chloroacidobacterium	2	1	2	2	3	4	1	0
Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Solibacter	0	0	0	0	0	0	0	1
Bacteria;Acidobacteria;Acidobacteria_Gp22;Unassigned;Unassigned;Gp22	6	6	12	7	2	2	7	6
Bacteria;Acidobacteria;Acidobacteria_Gp26;Unassigned;Unassigned;Gp26	1	1	1	1	1	0	2	0
Bacteria;Acidobacteria;Holophagae	18	15	22	11	13	11	14	6
Bacteria;Acidobacteria;Holophagae;Acanthopleuribacterales;Acanthopleuribacteraceae;Acanthopleuribacter	0	2	2	0	0	0	0	0
Bacteria;Acidobacteria;Holophagae;Holophagales;Holophagaceae;Geothrix	0	0	0	1	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria	1	3	1	2	0	4	0	0
Bacteria;Actinobacteria;Actinobacteria;Acidimicrobiales	13	17	15	6	10	5	27	13
Bacteria;Actinobacteria;Actinobacteria;Acidimicrobiales;Acidimicrobiaceae	4	4	5	1	3	5	2	1
Bacteria;Actinobacteria;Actinobacteria;Acidimicrobiales;Acidimicrobiaceae;Ferrithrix	0	0	0	1	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Acidimicrobiales;Acidimicrobiaceae;Ilumatobacter	1	0	0	0	0	0	0	0
