QIIME format otu table
OTUID	AC1	AC2	AC3	AC4	AM1	AM2	AM3	AM4	Consesus Lineage
OTUHB_10	2	9	4	5	10	8	8	10	Bacteria;Gemmatimonadetes;Gemmatimonadetes
OTUHB_11	6	5	2	7	1	1	18	15	Bacteria;Proteobacteria;Gammaproteobacteria;Acidithiobacillales;Acidithiobacillaceae;Acidithiobacillus
OTUHB_12	4	6	6	4	0	3	1	3	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Sinobacteraceae
OTUHB_13	1	2	1	6	2	0	10	10	Bacteria;Proteobacteria;Deltaproteobacteria;SAR324
OTUHB_14	2	3	9	8	7	7	4	7	Bacteria;Proteobacteria;Gammaproteobacteria
OTUHB_15	1	1	0	0	1	0	13	8	Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Coxiellaceae;Coxiella
OTUHB_20	5	0	5	2	3	0	1	6	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Altererythrobacter
OTUHB_16	0	0	0	0	0	0	4	20	Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae
OTUHB_21	3	1	3	1	3	1	8	2	Bacteria;Actinobacteria;Actinobacteria;Acidimicrobiales
OTUHB_17	1	0	2	0	1	13	4	2	Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolinaceae
OTUHB_22	2	0	0	1	1	14	0	2	Bacteria;Gemmatimonadetes;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;Gemmatimonas
OTUHB_18	4	6	5	1	1	1	3	2	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Sinobacteraceae
OTUHB_23	0	0	0	0	7	1	7	3	Organelle;Chloroplast;Streptophyta
OTUHB_19	0	0	0	0	1	0	4	19	Bacteria;Acidobacteria
OTUHB_24	1	3	0	2	4	2	10	3	Bacteria;Chloroflexi;Caldilineae;Caldilineales
OTUHB_25	0	0	0	1	0	11	4	1	Bacteria;Proteobacteria;Alphaproteobacteria;Parvularculales;Parvularculaceae;Parvularcula
OTUHB_30	1	1	1	7	1	1	2	2	Bacteria;Nitrospirae;Nitrospira;Nitrospirales;Nitrospiraceae;Nitrospira
OTUHB_26	0	0	1	0	1	1	10	5	Bacteria;Chloroflexi;Caldilineae;Caldilineales
OTUHB_31	6	3	1	1	3	0	6	9	Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales
OTUHB_27	1	3	3	0	1	0	2	7	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Pelagibius
OTUHB_32	2	1	1	0	4	1	3	3	Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae
OTUHB_28	5	2	3	2	3	1	1	2	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhodobiaceae;Rhodobium
OTUHB_33	3	2	2	4	0	0	4	1	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae
OTUHB_29	5	0	3	0	4	2	0	3	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales
OTUHB_34	5	4	1	1	6	6	0	2	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Sinobacteraceae
OTUHB_35	3	2	2	1	2	1	1	2	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Filomicrobium
OTUHB_40	5	3	5	1	0	4	4	4	Bacteria;Proteobacteria;Gammaproteobacteria
OTUHB_36	0	0	0	0	0	14	1	0	Bacteria;Actinobacteria;Actinobacteria;Nitriliruptorales;Nitriliruptoraceae;Nitriliruptor
OTUHB_41	4	1	6	1	0	0	0	1	Bacteria;Proteobacteria;Gammaproteobacteria
OTUHB_37	2	3	5	1	1	2	2	1	Bacteria;Actinobacteria;Actinobacteria;Acidimicrobiales;Acidimicrobiaceae
OTUHB_42	4	1	5	2	0	0	0	0	Organelle;Chloroplast;Bacillariophyta
OTUHB_38	0	1	3	1	1	0	1	9	Organelle;Chloroplast;Bacillariophyta
OTUHB_43	3	4	4	2	0	0	0	3	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Sinobacteraceae
OTUHB_39	4	2	3	4	0	1	2	5	Bacteria;Gemmatimonadetes;Gemmatimonadetes
OTUHB_44	1	3	0	0	2	3	0	5	Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae
OTUHB_45	1	6	0	0	14	2	7	2	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus
OTUHB_50	1	1	0	3	2	3	1	0	Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolinaceae
OTUHB_46	2	0	2	3	0	1	0	3	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Erythrobacter
OTUHB_51	1	0	1	0	3	6	1	0	Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae
OTUHB_47	1	2	3	2	1	5	3	1	Bacteria;Proteobacteria;Gammaproteobacteria
OTUHB_52	2	1	5	2	0	0	1	2	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Sinobacteraceae
OTUHB_48	2	0	0	0	1	10	0	0	Bacteria;Chloroflexi
OTUHB_53	4	3	3	7	1	2	4	6	Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Nitrosococcus
OTUHB_49	1	2	0	4	1	8	0	0	Bacteria;Gemmatimonadetes;Gemmatimonadetes
OTUHB_54	6	1	8	3	0	0	0	0	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Sinobacteraceae
OTUHB_55	2	3	2	6	0	4	0	2	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Sinobacteraceae
OTUHB_60	2	0	5	2	0	3	1	1	Bacteria;Gemmatimonadetes;Gemmatimonadetes
OTUHB_56	1	5	1	1	4	9	1	4	Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae
OTUHB_61	0	0	0	0	0	10	0	0	Bacteria;Chlorobi;Chlorobia;Chlorobiales
OTUHB_57	4	1	0	6	0	0	0	0	Bacteria;Proteobacteria;Betaproteobacteria;Methylophilales;Methylophilaceae;Methylophilus
OTUHB_62	1	1	0	0	0	2	4	4	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Pelagibius
OTUHB_58	5	1	3	2	0	0	0	0	Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Halomonadaceae;Kushneria
OTUHB_63	0	0	0	0	0	0	7	4	Unknown
OTUHB_59	0	0	1	0	0	13	0	0	Bacteria;Chloroflexi
OTUHB_64	0	5	0	0	5	2	5	0	Bacteria;Chloroflexi;Caldilineae;Caldilineales
OTUHB_65	3	7	1	1	4	0	1	0	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Sinobacteraceae
OTUHB_70	2	3	2	3	1	5	5	0	Bacteria;Chloroflexi
OTUHB_66	0	0	0	1	1	8	2	0	Bacteria;Nitrospirae;Nitrospira;Nitrospirales;Nitrospiraceae;Nitrospira
OTUHB_71	0	0	2	2	0	3	1	4	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Sodalis
OTUHB_67	1	0	0	3	2	1	2	0	Bacteria;Proteobacteria;Gammaproteobacteria;Unassigned;Unassigned;Sedimenticola
OTUHB_72	1	1	0	0	1	1	4	1	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
OTUHB_68	0	1	0	0	1	7	0	0	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Cellulomonadaceae;Actinotalea
OTUHB_73	1	2	0	0	3	2	3	1	Bacteria;Chloroflexi
OTUHB_69	7	2	1	7	6	4	4	3	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Phyllobacteriaceae;Mesorhizobium
OTUHB_74	0	1	1	2	3	6	1	1	Bacteria;Proteobacteria;Alphaproteobacteria
OTUHB_75	1	1	0	0	5	0	0	3	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Defluviicoccus
OTUHB_80	0	2	2	2	2	0	1	2	Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae
OTUHB_76	3	1	2	2	0	6	3	0	Bacteria;Gemmatimonadetes;Gemmatimonadetes
OTUHB_81	2	3	0	1	0	2	2	1	Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae
OTUHB_77	1	0	0	0	2	0	0	7	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Pelagibius
OTUHB_82	0	2	2	2	0	5	6	1	Bacteria;Chloroflexi;Caldilineae;Caldilineales
OTUHB_78	6	0	3	1	0	0	0	0	Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Hyphomonadaceae;Hyphomonas;Hyphomonas
OTUHB_83	0	0	0	0	0	0	6	3	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhodobiaceae;Parvibaculum
OTUHB_79	1	0	0	2	6	6	0	2	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Pseudolabrys
OTUHB_84	4	0	5	3	0	0	0	0	Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales
OTUHB_85	1	3	2	1	1	0	0	3	Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Flammeovirgaceae;Persicobacter
OTUHB_90	3	2	4	2	3	5	1	0	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Prosthecomicrobium
OTUHB_86	0	0	1	0	1	0	5	3	Bacteria;Actinobacteria;Actinobacteria;Acidimicrobiales
